time,avg_finished_rate,avg_block_per_min,avg_finalized_block_per_min,avg_forks,avg_invalid_rate,avg_queue_size,avg_rpc_calls_rate,avg_tot_finished,block_construct_time,test#,test_name,x_scaled
1665853665,0.0512800294515563,3.07680176709338,3.07680176709338,1.0,0.0,0.0,0.0,2460.653846153846,0.0937508680519372,1.0,1000tps|25_nodes,37.0
1665853666,0.0512820512820512,3.0769230769230766,3.0769230769230766,1.0,0.0,0.0,0.0,2460.653846153846,0.0937508680519372,1.0,1000tps|25_nodes,38.0
1665853667,0.051282253681868,3.0769352209120817,3.0769352209120817,1.0,0.0,0.0,0.0,2460.653846153846,0.0937508763933302,1.0,1000tps|25_nodes,39.0
1665853668,0.0512815457753097,3.076892746518588,3.076892746518588,1.0,0.0,0.0,0.0,2460.653846153846,0.0937508680519372,1.0,1000tps|25_nodes,40.0
1665853669,0.0512822539308095,3.07693523584857,3.07693523584857,1.0,0.0,0.0,0.0,2460.653846153846,0.0937508680519372,1.0,1000tps|25_nodes,41.0
1665853670,0.0078896477221404,2.958616316111799,3.076959511378071,1.0,0.0,0.0,0.0,2460.653846153846,0.0937508680519372,1.0,1000tps|25_nodes,42.0
1665853671,0.0,2.366961027979681,3.0770505480328363,1.0,0.0,0.0,0.0,2460.653846153846,0.0937508680519372,1.0,1000tps|25_nodes,43.0
1665853672,0.0,1.5384918906531948,2.840297390773844,1.0,0.0,0.0,0.0,2460.653846153846,0.0937508680519372,1.0,1000tps|25_nodes,44.0
1665853673,0.0,0.9468244728469716,2.248605716113904,1.0,0.0,0.0,0.0,2460.653846153846,0.0937508680519372,1.0,1000tps|25_nodes,45.0
1665853674,0.0,0.5917463285230168,1.8935578953457683,1.0,0.0,0.0,0.0,2460.653846153846,0.0937508680519372,1.0,1000tps|25_nodes,46.0
1665853675,0.0,0.0,1.183450162109601,1.0,0.0,0.0,0.0,2460.653846153846,0.0937508680519372,1.0,1000tps|25_nodes,47.0
1665853676,0.0,0.0,0.5917463285230169,1.0,0.0,0.0,0.0,2460.653846153846,0.0937508680519372,1.0,1000tps|25_nodes,48.0
1665853677,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2460.653846153846,0.0937508680519372,1.0,1000tps|25_nodes,49.0
1665853678,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2460.653846153846,0.0937508680519372,1.0,1000tps|25_nodes,50.0
1665853679,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2460.653846153846,0.0937508680519372,1.0,1000tps|25_nodes,51.0
